Bee name,Bee family,Diet breadth,Reference
Sphecodes illinoensis,Halictidae,parasitic,Michener 2007
Sphecodes kincaidii,Halictidae,parasitic,Michener 2007
Sphecodes mandibularis,Halictidae,parasitic,Michener 2007
Sphecodes manni,Halictidae,parasitic,Michener 2007
Sphecodes minor,Halictidae,parasitic,Michener 2007
Sphecodes pimpinellae,Halictidae,parasitic,Michener 2007
Sphecodes prosphorus,Halictidae,parasitic,Michener 2007
Sphecodes pycnanthemi,Halictidae,parasitic,Michener 2007
Sphecodes ranunculi,Halictidae,parasitic,Michener 2007
Sphecodes smilacinae,Halictidae,parasitic,Michener 2007
Sphecodosoma beameri,Halictidae,specialist,Fowler 2020a; Fowler 2020b
Sphecodosoma dicksoni,Halictidae,specialist,Fowler 2020a; Fowler 2020b
Sphecodosoma pratti,Halictidae,unknown,NA
Xeralictus bicuspidariae,Halictidae,specialist,Fowler 2020b
Xeralictus timberlakei,Halictidae,specialist,Fowler 2020b
Anthidiellum notatum,Megachilidae,generalist,Wood et al. 2018
Anthidiellum perplexum,Megachilidae,unknown,NA
Anthidium atripes,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Anthidium cochimi,Megachilidae,unknown,NA
Anthidium cockerelli,Megachilidae,unknown,NA
Anthidium dammersi,Megachilidae,specialist,Fowler 2020b
Anthidium duomarginatum,Megachilidae,unknown,NA
Anthidium edwardsii,Megachilidae,unknown,NA
Anthidium formosum,Megachilidae,unknown,NA
Anthidium illustre,Megachilidae,unknown,NA
Anthidium jocosum,Megachilidae,unknown,NA
Anthidium labergei,Megachilidae,unknown,NA
Anthidium maculifrons,Megachilidae,unknown,NA
Anthidium maculosum,Megachilidae,unknown,NA
Anthidium michenerorum,Megachilidae,unknown,NA
Anthidium pallidiclypeum,Megachilidae,specialist,Fowler 2020b
Anthidium palliventre,Megachilidae,unknown,NA
Anthidium palmarum,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Anthidium placitum,Megachilidae,specialist,Fowler 2020b
Anthidium psoraleae,Megachilidae,specialist,Linsley 1958
Anthidium rodecki,Megachilidae,unknown,NA
Anthidium sonorense,Megachilidae,unknown,NA
Anthidium tenuiflorae,Megachilidae,generalist,NA
Ashmeadiella aridula,Megachilidae,unknown,NA
Ashmeadiella australis,Megachilidae,generalist,NA
Ashmeadiella bigeloviae,Megachilidae,unknown,NA
Ashmeadiella breviceps,Megachilidae,unknown,NA
Ashmeadiella bucconis,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Ashmeadiella cactorum,Megachilidae,generalist,Sheffield et al. 2014
Ashmeadiella californica,Megachilidae,unknown,NA
Ashmeadiella cazieri,Megachilidae,specialist,Fowler 2020b
Ashmeadiella clypeodentata,Megachilidae,unknown,NA
Ashmeadiella cubiceps,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Ashmeadiella difugita,Megachilidae,unknown,NA
Ashmeadiella erema,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Ashmeadiella eurynorhyncha,Megachilidae,unknown,NA
Ashmeadiella femorata,Megachilidae,unknown,NA
Ashmeadiella foveata,Megachilidae,unknown,NA
Ashmeadiella gillettei,Megachilidae,unknown,NA
Ashmeadiella holtii,Megachilidae,unknown,NA
Ashmeadiella hurdiana,Megachilidae,unknown,NA
Ashmeadiella inyoensis,Megachilidae,specialist,Fowler 2020b
Ashmeadiella leucozona,Megachilidae,unknown,NA
Ashmeadiella lutzi,Megachilidae,unknown,NA
Ashmeadiella meliloti,Megachilidae,unknown,NA
Ashmeadiella micheneri,Megachilidae,specialist,Fowler 2020b
Ashmeadiella occipitalis,Megachilidae,unknown,NA
Ashmeadiella opuntiae,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Ashmeadiella pronitens,Megachilidae,unknown,NA
Ashmeadiella prosopidis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Ashmeadiella rhodognatha,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Ashmeadiella rubrella,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Ashmeadiella rufitarsis,Megachilidae,specialist,Fowler 2020b
Ashmeadiella salviae,Megachilidae,specialist,Fowler 2020b
Ashmeadiella sonora,Megachilidae,unknown,NA
Ashmeadiella timberlakei,Megachilidae,specialist,Fowler 2020b
Ashmeadiella vandykiella,Megachilidae,unknown,NA
Ashmeadiella xenomastax,Megachilidae,specialist,Fowler 2020b
Atoposmia abjecta,Megachilidae,specialist,Fowler 2020b
Atoposmia arizonensis,Megachilidae,unknown,NA
Atoposmia beameri,Megachilidae,unknown,NA
Atoposmia elongata,Megachilidae,unknown,NA
Atoposmia hebitis,Megachilidae,unknown,NA
Atoposmia hypostomalis,Megachilidae,specialist,Fowler 2020b
Atoposmia maryae,Megachilidae,unknown,NA
Chelostoma californicum,Megachilidae,specialist,Fowler 2020b
Chelostoma cockerelli,Megachilidae,generalist,NA
Chelostoma incisulum,Megachilidae,generalist,NA
Chelostoma philadelphi,Megachilidae,generalist,Sedivy et al. 2008; Gibbs et al. 2017
Chelostoma rapunculi,Megachilidae,generalist,Mller et al. 2006; Milet-Pinheiro et al. 2012; Sedivy et al. 2008; Haider et al. 2014b; Schlindwein et al. 2005; Mller et al. 1997; Kapyla 1978; Bogusch et al. 2020; Westrich 2018
Coelioxys alternatus,Megachilidae,parasitic,Michener 2007
Coelioxys apacheorum,Megachilidae,parasitic,Michener 2007
Coelioxys dolichos,Megachilidae,parasitic,Michener 2007
Coelioxys funerarius,Megachilidae,parasitic,Michener 2007
Coelioxys galactiae,Megachilidae,parasitic,Michener 2007
Coelioxys germanus,Megachilidae,parasitic,Michener 2007
Coelioxys hunteri,Megachilidae,parasitic,Michener 2007
Coelioxys mesae,Megachilidae,parasitic,Michener 2007
Coelioxys mexicanus,Megachilidae,parasitic,Michener 2007
Coelioxys modestus,Megachilidae,parasitic,Michener 2007
Coelioxys moestus,Megachilidae,parasitic,Michener 2007
Coelioxys obtusiventris,Megachilidae,parasitic,Michener 2007
Coelioxys octodentatus,Megachilidae,parasitic,Michener 2007
Coelioxys rufitarsis,Megachilidae,parasitic,Michener 2007
Coelioxys sayi,Megachilidae,parasitic,Michener 2007
Coelioxys slossoni,Megachilidae,parasitic,Michener 2007
Coelioxys sodalis,Megachilidae,parasitic,Michener 2007
Coelioxys texanus,Megachilidae,parasitic,Michener 2007
Dianthidium cressonii,Megachilidae,specialist,Fowler 2020b
Dianthidium curvatum,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Dianthidium discors,Megachilidae,unknown,NA
Dianthidium dubium,Megachilidae,unknown,NA
Dianthidium floridiense,Megachilidae,unknown,NA
Dianthidium heterulkei,Megachilidae,unknown,NA
Dianthidium parvum,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Dianthidium platyurum,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Dianthidium subparvum,Megachilidae,specialist,Fowler 2020b
Dioxys pomonae,Megachilidae,parasitic,Michener 2007
Dioxys productus,Megachilidae,parasitic,Michener 2007
Heriades carinata,Megachilidae,generalist,Sheffield et al. 2014; Jensen et al. 2003
Heriades crucifera,Megachilidae,specialist,Fowler 2020b
Heriades leavitti,Megachilidae,generalist,Wood et al. 2018
Heriades micropthalma,Megachilidae,unknown,NA
Heriades occidentalis,Megachilidae,unknown,NA
Heriades variolosa,Megachilidae,specialist,Sheffield et al. 2014
Hoplitis albifrons,Megachilidae,generalist,Sheffield et al. 2014
Hoplitis biscutellae,Megachilidae,generalist,NA
Hoplitis fulgida,Megachilidae,unknown,NA
Hoplitis grinnelli,Megachilidae,unknown,NA
Hoplitis howardi,Megachilidae,specialist,Fowler 2020b
Hoplitis hypocrita,Megachilidae,unknown,NA
Hoplitis incanescens,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Hoplitis paroselae,Megachilidae,specialist,Fowler 2020b
Hoplitis pilosifrons,Megachilidae,generalist,Sheffield et al. 2014
Hoplitis producta,Megachilidae,generalist,Sheffield et al. 2014
Hoplitis remotula,Megachilidae,specialist,Fowler 2020b
Hoplitis robusta,Megachilidae,generalist,Sheffield et al. 2014
Hoplitis sambuci,Megachilidae,unknown,NA
Hoplitis truncata,Megachilidae,unknown,NA
Hoplitis zuni,Megachilidae,unknown,NA
Lithurgopsis apicalis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Lithurgopsis echinocacti,Megachilidae,specialist,Fowler 2020b
Lithurgopsis gibbosa,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a
Lithurgopsis littoralis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Megachile addenda,Megachilidae,unknown,NA
Megachile adelphodonta,Megachilidae,unknown,NA
Megachile albitarsis,Megachilidae,unknown,NA
Megachile amica,Megachilidae,unknown,NA
Megachile angelarum,Megachilidae,unknown,NA
Megachile anograe,Megachilidae,specialist,Sheffield et al. 2014
Megachile bahamensis,Megachilidae,unknown,NA
Megachile brevis,Megachilidae,specialist,Sheffield et al. 2014; Ascher & Pickering 2019; Killewald et al. 2019
Megachile brimleyi,Megachilidae,specialist,Fowler and Droege 2020
Megachile browni,Megachilidae,unknown,NA
Megachile campanulae,Megachilidae,generalist,Wood et al. 2018
Megachile centuncularis,Megachilidae,unknown,NA
Megachile chichimeca,Megachilidae,unknown,NA
Megachile chilopsidis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Megachile circumcincta,Megachilidae,generalist,Sheffield et al. 2014; Bogusch et al. 2020; Westrich 2018
Megachile cochisiana,Megachilidae,unknown,NA
Megachile comata,Megachilidae,unknown,NA
Megachile davidsoni,Megachilidae,unknown,NA
Megachile deflexa,Megachilidae,unknown,NA
Megachile dentitarsus,Megachilidae,generalist,Sheffield et al. 2014
Megachile exilis,Megachilidae,unknown,NA
Megachile fidelis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Megachile fortis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Megachile frigida,Megachilidae,specialist,Sheffield et al. 2014
Megachile frugalis,Megachilidae,unknown,NA
Megachile fucata,Megachilidae,unknown,NA
Megachile gemula,Megachilidae,generalist,Sheffield et al. 2014; Cane et al. 1985; Bogusch et al. 2020
Megachile gentilis,Megachilidae,unknown,NA
Megachile georgica,Megachilidae,unknown,NA
Megachile inermis,Megachilidae,generalist,Sheffield et al. 2014
Megachile inimica,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Megachile integra,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a
Megachile integrella,Megachilidae,unknown,NA
Megachile lapponica,Megachilidae,specialist,Sheffield et al. 2014; Bogusch et al. 2020; Westrich 2018
Megachile latimanus,Megachilidae,generalist,Sheffield et al. 2014
Megachile legalis,Megachilidae,unknown,NA
Megachile lippiae,Megachilidae,generalist,Sheffield et al. 2014
Megachile manni,Megachilidae,unknown,NA
Megachile melanophaea,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Megachile mendica,Megachilidae,specialist,Ascher & Pickering 2019; Killewald et al. 2019; Wood et al. 2018
Megachile micheneri,Megachilidae,unknown,NA
Megachile montivaga,Megachilidae,generalist,Sheffield et al. 2014
Megachile mucida,Megachilidae,generalist,Wood et al. 2018
Megachile parallela,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Megachile perihirta,Megachilidae,generalist,Fowler 2020a; Fowler 2020b
Megachile petulans,Megachilidae,generalist,Wood et al. 2018
Megachile policaris,Megachilidae,specialist,Linsley 1958
Megachile prosopidis,Megachilidae,specialist,NA
Megachile pruina,Megachilidae,unknown,NA
Megachile pseudobrevis,Megachilidae,unknown,NA
Megachile pugnata,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Megachile pusilla,Megachilidae,generalist,Vossler 2018; Soltani et al. 2017
Megachile relativa,Megachilidae,generalist,Sheffield et al. 2014; Jensen et al. 2003
Megachile rugifrons,Megachilidae,unknown,NA
Megachile sidalceae,Megachilidae,unknown,NA
Megachile snowi,Megachilidae,unknown,NA
Megachile sublaurita,Megachilidae,specialist,Sheffield et al. 2014
Megachile subnigra,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Megachile texana,Megachilidae,unknown,NA
Megachile townsendiana,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Megachile umatillensis,Megachilidae,specialist,Fowler 2020b
Megachile umbripennis,Megachilidae,unknown,NA
Megachile xerophila,Megachilidae,unknown,NA
Megachile xylocopoides,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a
Megachile zapoteca,Megachilidae,unknown,NA
Megachile zaptlana,Megachilidae,unknown,NA
Osmia albiventris,Megachilidae,unknown,NA
Osmia albolateralis,Megachilidae,specialist,Sheffield et al. 2014
Osmia alpestris,Megachilidae,unknown,NA
Osmia atriventris,Megachilidae,generalist,Sheffield et al. 2014
Osmia atrocyanea,Megachilidae,unknown,NA
Osmia bucephala,Megachilidae,generalist,Sheffield et al. 2014
Osmia calaminthae,Megachilidae,specialist,Fowler and Droege 2020
Osmia calcarata,Megachilidae,specialist,Fowler 2020b
Osmia calla,Megachilidae,unknown,NA
Osmia cara,Megachilidae,unknown,NA
Osmia cerasi,Megachilidae,unknown,NA
Osmia chalybea,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Osmia clarescens,Megachilidae,unknown,NA
Osmia cobaltina,Megachilidae,unknown,NA
Osmia collinsiae,Megachilidae,unknown,NA
Osmia coloradensis,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Osmia conjuncta,Megachilidae,unknown,NA
Osmia cordata,Megachilidae,unknown,NA
Osmia crassa,Megachilidae,unknown,NA
Osmia cyanella,Megachilidae,unknown,NA
Osmia distincta,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a
Osmia dolerosa,Megachilidae,unknown,NA
Osmia exigua,Megachilidae,unknown,NA
Osmia felti,Megachilidae,unknown,NA
Osmia gabrielis,Megachilidae,unknown,NA
Osmia gaudiosa,Megachilidae,unknown,NA
Osmia georgica,Megachilidae,specialist,Gibbs et al. 2017; Wood et al. 2018; Linsley 1958
Osmia giliarum,Megachilidae,specialist,NA
Osmia glauca,Megachilidae,unknown,NA
Osmia granulosa,Megachilidae,unknown,NA
Osmia grinnelli,Megachilidae,specialist,Fowler 2020b
Osmia illinoensis,Megachilidae,unknown,NA
Osmia inermis,Megachilidae,generalist,Mller 2018; Sheffield et al. 2014; Bogusch et al. 2020; Westrich 2018
Osmia inspergens,Megachilidae,unknown,NA
Osmia integra,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Osmia iridis,Megachilidae,specialist,Spear et al. 2016; McAulay et al. 2020
Osmia juxta,Megachilidae,generalist,Sheffield et al. 2014
Osmia kincaidii,Megachilidae,unknown,NA
Osmia laeta,Megachilidae,unknown,NA
Osmia latisulcata,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Osmia lignaria,Megachilidae,generalist,Kraemer & Favi 2005; Cane & Sipes 2006; Sheffield et al. 2014; Levin 1966; Williams & Tepedino 2003; Williams 2003; Haider et al. 2014a
Osmia liogastra,Megachilidae,specialist,Fowler 2020b
Osmia longula,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Osmia marginata,Megachilidae,unknown,NA
Osmia montana,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Osmia nemoris,Megachilidae,unknown,NA
Osmia nifoata,Megachilidae,specialist,Fowler 2020b
Osmia nigrifrons,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Osmia nigrobarbata,Megachilidae,specialist,Fowler 2020b
Osmia pentstemonis,Megachilidae,specialist,Sheffield et al. 2014
Osmia phenax,Megachilidae,specialist,NA
Osmia proxima,Megachilidae,generalist,Sheffield et al. 2014
Osmia prunorum,Megachilidae,unknown,NA
Osmia pumila,Megachilidae,generalist,Goodell 2003; Wood et al. 2018
Osmia rawlinsi,Megachilidae,unknown,NA
Osmia regulina,Megachilidae,specialist,Fowler 2020b
Osmia ribifloris,Megachilidae,generalist,NA
Osmia sandhouseae,Megachilidae,unknown,NA
Osmia sanrafaelae,Megachilidae,unknown,NA
Osmia sculleni,Megachilidae,generalist,Sheffield et al. 2014; Parker & Tepedino 1982; Alves-dos-Santos & Wittman 1999; Moldenke & Neff 1974
Osmia simillima,Megachilidae,generalist,Sheffield et al. 2014
Osmia subarctica,Megachilidae,unknown,NA
Osmia subaustralis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Osmia subfasciata,Megachilidae,unknown,NA
Osmia tarsata,Megachilidae,unknown,NA
Osmia texana,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Osmia unca,Megachilidae,unknown,NA
Paranthidium jugatorium,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Protosmia rubifloris,Megachilidae,unknown,NA
Stelis calliphorina,Megachilidae,parasitic,Michener 2007
Stelis callura,Megachilidae,parasitic,Michener 2007
Stelis carnifex,Megachilidae,parasitic,Michener 2007
Stelis coarctatus,Megachilidae,parasitic,Michener 2007
Stelis costalis,Megachilidae,parasitic,Michener 2007
Stelis diversicolor,Megachilidae,parasitic,Michener 2007
Stelis foederalis,Megachilidae,parasitic,Michener 2007
Stelis imperialis,Megachilidae,parasitic,Michener 2007
Stelis labiata,Megachilidae,parasitic,Michener 2007
Stelis lamelliterga,Megachilidae,parasitic,Michener 2007
Stelis lateralis,Megachilidae,parasitic,Michener 2007
Stelis laticincta,Megachilidae,parasitic,Michener 2007
Stelis louisae,Megachilidae,parasitic,Michener 2007
Stelis monticola,Megachilidae,parasitic,Michener 2007
Stelis occidentalis,Megachilidae,parasitic,Michener 2007
Stelis palmarum,Megachilidae,parasitic,Michener 2007
Stelis pavonina,Megachilidae,parasitic,Michener 2007
Stelis permaculata,Megachilidae,parasitic,Michener 2007
Stelis perpulchra,Megachilidae,parasitic,Michener 2007
Stelis robertsoni,Megachilidae,parasitic,Michener 2007
Stelis subemarginata,Megachilidae,parasitic,Michener 2007
Trachusa bequaerti,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Trachusa cordaticeps,Megachilidae,unknown,NA
Trachusa fontemvitae,Megachilidae,unknown,NA
Trachusa larreae,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Trachusa perdita,Megachilidae,unknown,NA
Trachusa ridingsii,Megachilidae,unknown,NA
Trachusa timberlakei,Megachilidae,unknown,NA
Trachusa zebrata,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Hesperapis arenicola,Melittidae,specialist,Fowler 2020b
Hesperapis arida,Melittidae,generalist,NA
Hesperapis carinata,Melittidae,specialist,Fowler 2020a; Fowler 2020b
Hesperapis elegantula,Melittidae,unknown,NA
Hesperapis fuchsi,Melittidae,unknown,NA
Hesperapis fulvipes,Melittidae,specialist,Fowler 2020b
Hesperapis ilicifoliae,Melittidae,generalist,Fowler 2020b
Hesperapis larreae,Melittidae,specialist,Fowler 2020a; Fowler 2020b
Hesperapis laticeps,Melittidae,specialist,Fowler 2020b
Hesperapis leucura,Melittidae,specialist,Fowler 2020b
Hesperapis oliviae,Melittidae,specialist,Portman & Tepedino 2017
Hesperapis oraria,Melittidae,specialist,Fowler and Droege 2020
Hesperapis parva,Melittidae,unknown,NA
Hesperapis pellucida,Melittidae,specialist,Fowler 2020b
Hesperapis regularis,Melittidae,specialist,Fowler 2020b
Hesperapis rhodocerata,Melittidae,specialist,Fowler 2020a; Fowler 2020b
Hesperapis rufipes,Melittidae,specialist,Fowler 2020b
Hesperapis trochanterata,Melittidae,generalist,NA
Macropis ciliata,Melittidae,specialist,Fowler and Droege 2020; Fowler 2020a
Macropis nuda,Melittidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Macropis patellata,Melittidae,specialist,Fowler and Droege 2020; Fowler 2020a
Macropis steironematis,Melittidae,specialist,Fowler and Droege 2020; Fowler 2020a
Melitta americana,Melittidae,specialist,Fowler and Droege 2020
Melitta melittoides,Melittidae,specialist,Fowler and Droege 2020; Fowler 2020a
