Bee name,Bee family,Diet breadth,Reference
Sphecodes galerus,Halictidae,parasitic,Michener 2007
Sphecodes heraclei,Halictidae,parasitic,Michener 2007
Sphecodes illinoensis,Halictidae,parasitic,Michener 2007
Sphecodes kincaidii,Halictidae,parasitic,Michener 2007
Sphecodes mandibularis,Halictidae,parasitic,Michener 2007
Sphecodes manni,Halictidae,parasitic,Michener 2007
Sphecodes minor,Halictidae,parasitic,Michener 2007
Sphecodes pimpinellae,Halictidae,parasitic,Michener 2007
Sphecodes prosphorus,Halictidae,parasitic,Michener 2007
Sphecodes pycnanthemi,Halictidae,parasitic,Michener 2007
Sphecodes ranunculi,Halictidae,parasitic,Michener 2007
Sphecodes smilacinae,Halictidae,parasitic,Michener 2007
Sphecodosoma beameri,Halictidae,specialist,Fowler 2020a; Fowler 2020b
Sphecodosoma dicksoni,Halictidae,specialist,Fowler 2020a; Fowler 2020b
Sphecodosoma pratti,Halictidae,unknown,
Xeralictus bicuspidariae,Halictidae,specialist,Fowler 2020b
Xeralictus timberlakei,Halictidae,specialist,Fowler 2020b
Anthidiellum notatum,Megachilidae,generalist,Wood et al. 2018
Anthidiellum perplexum,Megachilidae,unknown,
Anthidium atripes,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Anthidium cochimi,Megachilidae,unknown,
Anthidium cockerelli,Megachilidae,unknown,
Anthidium dammersi,Megachilidae,specialist,Fowler 2020b
Anthidium duomarginatum,Megachilidae,unknown,
Anthidium edwardsii,Megachilidae,unknown,
Anthidium formosum,Megachilidae,unknown,
Anthidium illustre,Megachilidae,unknown,
Anthidium jocosum,Megachilidae,unknown,
Anthidium labergei,Megachilidae,unknown,
Anthidium maculifrons,Megachilidae,unknown,
Anthidium maculosum,Megachilidae,unknown,
Anthidium michenerorum,Megachilidae,unknown,
Anthidium pallidiclypeum,Megachilidae,specialist,Fowler 2020b
Anthidium palliventre,Megachilidae,unknown,
Anthidium palmarum,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Anthidium placitum,Megachilidae,specialist,Fowler 2020b
Anthidium psoraleae,Megachilidae,specialist,Linsley 1958
Anthidium rodecki,Megachilidae,unknown,
Anthidium sonorense,Megachilidae,unknown,
Anthidium tenuiflorae,Megachilidae,generalist,
Ashmeadiella aridula,Megachilidae,unknown,
Ashmeadiella australis,Megachilidae,generalist,
Ashmeadiella bigeloviae,Megachilidae,unknown,
Ashmeadiella breviceps,Megachilidae,unknown,
Ashmeadiella bucconis,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Ashmeadiella cactorum,Megachilidae,generalist,Sheffield et al. 2014
Ashmeadiella californica,Megachilidae,unknown,
Ashmeadiella cazieri,Megachilidae,specialist,Fowler 2020b
Ashmeadiella clypeodentata,Megachilidae,unknown,
Ashmeadiella cubiceps,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Ashmeadiella difugita,Megachilidae,unknown,
Ashmeadiella erema,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Ashmeadiella eurynorhyncha,Megachilidae,unknown,
Ashmeadiella femorata,Megachilidae,unknown,
Ashmeadiella foveata,Megachilidae,unknown,
Ashmeadiella gillettei,Megachilidae,unknown,
Ashmeadiella holtii,Megachilidae,unknown,
Ashmeadiella hurdiana,Megachilidae,unknown,
Ashmeadiella inyoensis,Megachilidae,specialist,Fowler 2020b
Ashmeadiella leucozona,Megachilidae,unknown,
Ashmeadiella lutzi,Megachilidae,unknown,
Ashmeadiella meliloti,Megachilidae,unknown,
Ashmeadiella micheneri,Megachilidae,specialist,Fowler 2020b
Ashmeadiella occipitalis,Megachilidae,unknown,
Ashmeadiella opuntiae,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Ashmeadiella pronitens,Megachilidae,unknown,
Ashmeadiella prosopidis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Ashmeadiella rhodognatha,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Ashmeadiella rubrella,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Ashmeadiella rufitarsis,Megachilidae,specialist,Fowler 2020b
Ashmeadiella salviae,Megachilidae,specialist,Fowler 2020b
Ashmeadiella sonora,Megachilidae,unknown,
Ashmeadiella timberlakei,Megachilidae,specialist,Fowler 2020b
Ashmeadiella vandykiella,Megachilidae,unknown,
Ashmeadiella xenomastax,Megachilidae,specialist,Fowler 2020b
Atoposmia abjecta,Megachilidae,specialist,Fowler 2020b
Atoposmia arizonensis,Megachilidae,unknown,
Atoposmia beameri,Megachilidae,unknown,
Atoposmia elongata,Megachilidae,unknown,
Atoposmia hebitis,Megachilidae,unknown,
Atoposmia hypostomalis,Megachilidae,specialist,Fowler 2020b
Atoposmia maryae,Megachilidae,unknown,
Chelostoma californicum,Megachilidae,specialist,Fowler 2020b
Chelostoma cockerelli,Megachilidae,generalist,
Chelostoma incisulum,Megachilidae,generalist,
Chelostoma philadelphi,Megachilidae,generalist,Sedivy et al. 2008; Gibbs et al. 2017
Chelostoma rapunculi,Megachilidae,generalist,Müller et al. 2006; Milet-Pinheiro et al. 2012; Sedivy et al. 2008; Haider et al. 2014b; Schlindwein et al. 2005; Müller et al. 1997; Kapyla 1978; Bogusch et al. 2020; Westrich 2018
Coelioxys alternatus,Megachilidae,parasitic,Michener 2007
Coelioxys apacheorum,Megachilidae,parasitic,Michener 2007
Coelioxys dolichos,Megachilidae,parasitic,Michener 2007
Coelioxys funerarius,Megachilidae,parasitic,Michener 2007
Coelioxys galactiae,Megachilidae,parasitic,Michener 2007
Coelioxys germanus,Megachilidae,parasitic,Michener 2007
Coelioxys hunteri,Megachilidae,parasitic,Michener 2007
Coelioxys mesae,Megachilidae,parasitic,Michener 2007
Coelioxys mexicanus,Megachilidae,parasitic,Michener 2007
Coelioxys modestus,Megachilidae,parasitic,Michener 2007
Coelioxys moestus,Megachilidae,parasitic,Michener 2007
Coelioxys obtusiventris,Megachilidae,parasitic,Michener 2007
Coelioxys octodentatus,Megachilidae,parasitic,Michener 2007
Coelioxys rufitarsis,Megachilidae,parasitic,Michener 2007
Coelioxys sayi,Megachilidae,parasitic,Michener 2007
Coelioxys slossoni,Megachilidae,parasitic,Michener 2007
Coelioxys sodalis,Megachilidae,parasitic,Michener 2007
Coelioxys texanus,Megachilidae,parasitic,Michener 2007
Dianthidium cressonii,Megachilidae,specialist,Fowler 2020b
Dianthidium curvatum,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Dianthidium discors,Megachilidae,unknown,
Dianthidium dubium,Megachilidae,unknown,
Dianthidium floridiense,Megachilidae,unknown,
Dianthidium heterulkei,Megachilidae,unknown,
Dianthidium parvum,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Dianthidium platyurum,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Dianthidium subparvum,Megachilidae,specialist,Fowler 2020b
Dioxys pomonae,Megachilidae,parasitic,Michener 2007
Dioxys productus,Megachilidae,parasitic,Michener 2007
Heriades carinata,Megachilidae,generalist,Sheffield et al. 2014; Jensen et al. 2003
Heriades crucifera,Megachilidae,specialist,Fowler 2020b
Heriades leavitti,Megachilidae,generalist,Wood et al. 2018
Heriades micropthalma,Megachilidae,unknown,
Heriades occidentalis,Megachilidae,unknown,
Heriades variolosa,Megachilidae,specialist,Sheffield et al. 2014
Hoplitis albifrons,Megachilidae,generalist,Sheffield et al. 2014
Hoplitis biscutellae,Megachilidae,generalist,
Hoplitis fulgida,Megachilidae,unknown,
Hoplitis grinnelli,Megachilidae,unknown,
Hoplitis howardi,Megachilidae,specialist,Fowler 2020b
Hoplitis hypocrita,Megachilidae,unknown,
Hoplitis incanescens,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Hoplitis paroselae,Megachilidae,specialist,Fowler 2020b
Hoplitis pilosifrons,Megachilidae,generalist,Sheffield et al. 2014
Hoplitis producta,Megachilidae,generalist,Sheffield et al. 2014
Hoplitis remotula,Megachilidae,specialist,Fowler 2020b
Hoplitis robusta,Megachilidae,generalist,Sheffield et al. 2014
Hoplitis sambuci,Megachilidae,unknown,
Hoplitis truncata,Megachilidae,unknown,
Hoplitis zuni,Megachilidae,unknown,
Lithurgopsis apicalis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Lithurgopsis echinocacti,Megachilidae,specialist,Fowler 2020b
Lithurgopsis gibbosa,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a
Lithurgopsis littoralis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Megachile addenda,Megachilidae,unknown,
Megachile adelphodonta,Megachilidae,unknown,
Megachile albitarsis,Megachilidae,unknown,
Megachile amica,Megachilidae,unknown,
Megachile angelarum,Megachilidae,unknown,
Megachile anograe,Megachilidae,specialist,Sheffield et al. 2014
Megachile bahamensis,Megachilidae,unknown,
Megachile brevis,Megachilidae,specialist,Sheffield et al. 2014; Ascher & Pickering 2019; Killewald et al. 2019
Megachile brimleyi,Megachilidae,specialist,Fowler and Droege 2020
Megachile browni,Megachilidae,unknown,
Megachile campanulae,Megachilidae,generalist,Wood et al. 2018
Megachile centuncularis,Megachilidae,unknown,
Megachile chichimeca,Megachilidae,unknown,
Megachile chilopsidis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Megachile circumcincta,Megachilidae,generalist,Sheffield et al. 2014; Bogusch et al. 2020; Westrich 2018
Megachile cochisiana,Megachilidae,unknown,
Megachile comata,Megachilidae,unknown,
Megachile davidsoni,Megachilidae,unknown,
Megachile deflexa,Megachilidae,unknown,
Megachile dentitarsus,Megachilidae,generalist,Sheffield et al. 2014
Megachile exilis,Megachilidae,unknown,
Megachile fidelis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Megachile fortis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Megachile frigida,Megachilidae,specialist,Sheffield et al. 2014
Megachile frugalis,Megachilidae,unknown,
Megachile fucata,Megachilidae,unknown,
Megachile gemula,Megachilidae,generalist,Sheffield et al. 2014; Cane et al. 1985; Bogusch et al. 2020
Megachile gentilis,Megachilidae,unknown,
Megachile georgica,Megachilidae,unknown,
Megachile inermis,Megachilidae,generalist,Sheffield et al. 2014
Megachile inimica,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Megachile integra,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a
Megachile integrella,Megachilidae,unknown,
Megachile lapponica,Megachilidae,specialist,Sheffield et al. 2014; Bogusch et al. 2020; Westrich 2018
Megachile latimanus,Megachilidae,generalist,Sheffield et al. 2014
Megachile legalis,Megachilidae,unknown,
Megachile lippiae,Megachilidae,generalist,Sheffield et al. 2014
Megachile manni,Megachilidae,unknown,
Megachile melanophaea,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Megachile mendica,Megachilidae,specialist,Ascher & Pickering 2019; Killewald et al. 2019; Wood et al. 2018
Megachile micheneri,Megachilidae,unknown,
Megachile montivaga,Megachilidae,generalist,Sheffield et al. 2014
Megachile mucida,Megachilidae,generalist,Wood et al. 2018
Megachile parallela,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Megachile perihirta,Megachilidae,generalist,Fowler 2020a; Fowler 2020b
Megachile petulans,Megachilidae,generalist,Wood et al. 2018
Megachile policaris,Megachilidae,specialist,Linsley 1958
Megachile prosopidis,Megachilidae,specialist,
Megachile pruina,Megachilidae,unknown,
Megachile pseudobrevis,Megachilidae,unknown,
Megachile pugnata,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Megachile pusilla,Megachilidae,generalist,Vossler 2018; Soltani et al. 2017
Megachile relativa,Megachilidae,generalist,Sheffield et al. 2014; Jensen et al. 2003
Megachile rugifrons,Megachilidae,unknown,
Megachile sidalceae,Megachilidae,unknown,
Megachile snowi,Megachilidae,unknown,
Megachile sublaurita,Megachilidae,specialist,Sheffield et al. 2014
Megachile subnigra,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Megachile texana,Megachilidae,unknown,
Megachile townsendiana,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Megachile umatillensis,Megachilidae,specialist,Fowler 2020b
Megachile umbripennis,Megachilidae,unknown,
Megachile xerophila,Megachilidae,unknown,
Megachile xylocopoides,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a
Megachile zapoteca,Megachilidae,unknown,
Megachile zaptlana,Megachilidae,unknown,
Osmia albiventris,Megachilidae,unknown,
Osmia albolateralis,Megachilidae,specialist,Sheffield et al. 2014
Osmia alpestris,Megachilidae,unknown,
Osmia atriventris,Megachilidae,generalist,Sheffield et al. 2014
Osmia atrocyanea,Megachilidae,unknown,
Osmia bucephala,Megachilidae,generalist,Sheffield et al. 2014
Osmia calaminthae,Megachilidae,specialist,Fowler and Droege 2020
Osmia calcarata,Megachilidae,specialist,Fowler 2020b
Osmia calla,Megachilidae,unknown,
Osmia cara,Megachilidae,unknown,
Osmia cerasi,Megachilidae,unknown,
Osmia chalybea,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Osmia clarescens,Megachilidae,unknown,
Osmia cobaltina,Megachilidae,unknown,
Osmia collinsiae,Megachilidae,unknown,
Osmia coloradensis,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Osmia conjuncta,Megachilidae,unknown,
Osmia cordata,Megachilidae,unknown,
Osmia crassa,Megachilidae,unknown,
Osmia cyanella,Megachilidae,unknown,
Osmia distincta,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a
Osmia dolerosa,Megachilidae,unknown,
Osmia exigua,Megachilidae,unknown,
Osmia felti,Megachilidae,unknown,
Osmia gabrielis,Megachilidae,unknown,
Osmia gaudiosa,Megachilidae,unknown,
Osmia georgica,Megachilidae,specialist,Gibbs et al. 2017; Wood et al. 2018; Linsley 1958
Osmia giliarum,Megachilidae,specialist,
Osmia glauca,Megachilidae,unknown,
Osmia granulosa,Megachilidae,unknown,
Osmia grinnelli,Megachilidae,specialist,Fowler 2020b
Osmia illinoensis,Megachilidae,unknown,
Osmia inermis,Megachilidae,generalist,Müller 2018; Sheffield et al. 2014; Bogusch et al. 2020; Westrich 2018
Osmia inspergens,Megachilidae,unknown,
Osmia integra,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Osmia iridis,Megachilidae,specialist,Spear et al. 2016; McAulay et al. 2020
Osmia juxta,Megachilidae,generalist,Sheffield et al. 2014
Osmia kincaidii,Megachilidae,unknown,
Osmia laeta,Megachilidae,unknown,
Osmia latisulcata,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Osmia lignaria,Megachilidae,generalist,Kraemer & Favi 2005; Cane & Sipes 2006; Sheffield et al. 2014; Levin 1966; Williams & Tepedino 2003; Williams 2003; Haider et al. 2014a
Osmia liogastra,Megachilidae,specialist,Fowler 2020b
Osmia longula,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Osmia marginata,Megachilidae,unknown,
Osmia montana,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Osmia nemoris,Megachilidae,unknown,
Osmia nifoata,Megachilidae,specialist,Fowler 2020b
Osmia nigrifrons,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Osmia nigrobarbata,Megachilidae,specialist,Fowler 2020b
Osmia pentstemonis,Megachilidae,specialist,Sheffield et al. 2014
Osmia phenax,Megachilidae,specialist,
Osmia proxima,Megachilidae,generalist,Sheffield et al. 2014
Osmia prunorum,Megachilidae,unknown,
Osmia pumila,Megachilidae,generalist,Goodell 2003; Wood et al. 2018
Osmia rawlinsi,Megachilidae,unknown,
Osmia regulina,Megachilidae,specialist,Fowler 2020b
Osmia ribifloris,Megachilidae,generalist,
Osmia sandhouseae,Megachilidae,unknown,
Osmia sanrafaelae,Megachilidae,unknown,
Osmia sculleni,Megachilidae,generalist,Sheffield et al. 2014; Parker & Tepedino 1982; Alves-dos-Santos & Wittman 1999; Moldenke & Neff 1974
Osmia simillima,Megachilidae,generalist,Sheffield et al. 2014
Osmia subarctica,Megachilidae,unknown,
Osmia subaustralis,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Osmia subfasciata,Megachilidae,unknown,
Osmia tarsata,Megachilidae,unknown,
Osmia texana,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Osmia unca,Megachilidae,unknown,
Paranthidium jugatorium,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Protosmia rubifloris,Megachilidae,unknown,
Stelis calliphorina,Megachilidae,parasitic,Michener 2007
Stelis callura,Megachilidae,parasitic,Michener 2007
Stelis carnifex,Megachilidae,parasitic,Michener 2007
Stelis coarctatus,Megachilidae,parasitic,Michener 2007
Stelis costalis,Megachilidae,parasitic,Michener 2007
Stelis diversicolor,Megachilidae,parasitic,Michener 2007
Stelis foederalis,Megachilidae,parasitic,Michener 2007
Stelis imperialis,Megachilidae,parasitic,Michener 2007
Stelis labiata,Megachilidae,parasitic,Michener 2007
Stelis lamelliterga,Megachilidae,parasitic,Michener 2007
Stelis lateralis,Megachilidae,parasitic,Michener 2007
Stelis laticincta,Megachilidae,parasitic,Michener 2007
Stelis louisae,Megachilidae,parasitic,Michener 2007
Stelis monticola,Megachilidae,parasitic,Michener 2007
Stelis occidentalis,Megachilidae,parasitic,Michener 2007
Stelis palmarum,Megachilidae,parasitic,Michener 2007
Stelis pavonina,Megachilidae,parasitic,Michener 2007
Stelis permaculata,Megachilidae,parasitic,Michener 2007
Stelis perpulchra,Megachilidae,parasitic,Michener 2007
Stelis robertsoni,Megachilidae,parasitic,Michener 2007
Stelis subemarginata,Megachilidae,parasitic,Michener 2007
Trachusa bequaerti,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Trachusa cordaticeps,Megachilidae,unknown,
Trachusa fontemvitae,Megachilidae,unknown,
Trachusa larreae,Megachilidae,specialist,Fowler 2020a; Fowler 2020b
Trachusa perdita,Megachilidae,unknown,
Trachusa ridingsii,Megachilidae,unknown,
Trachusa timberlakei,Megachilidae,unknown,
Trachusa zebrata,Megachilidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Hesperapis arenicola,Melittidae,specialist,Fowler 2020b
Hesperapis arida,Melittidae,generalist,
Hesperapis carinata,Melittidae,specialist,Fowler 2020a; Fowler 2020b
Hesperapis elegantula,Melittidae,unknown,
Hesperapis fuchsi,Melittidae,unknown,
Hesperapis fulvipes,Melittidae,specialist,Fowler 2020b
Hesperapis ilicifoliae,Melittidae,generalist,Fowler 2020b
Hesperapis larreae,Melittidae,specialist,Fowler 2020a; Fowler 2020b
Hesperapis laticeps,Melittidae,specialist,Fowler 2020b
Hesperapis leucura,Melittidae,specialist,Fowler 2020b
Hesperapis oliviae,Melittidae,specialist,Portman & Tepedino 2017
Hesperapis oraria,Melittidae,specialist,Fowler and Droege 2020
Hesperapis parva,Melittidae,unknown,
Hesperapis pellucida,Melittidae,specialist,Fowler 2020b
Hesperapis regularis,Melittidae,specialist,Fowler 2020b
Hesperapis rhodocerata,Melittidae,specialist,Fowler 2020a; Fowler 2020b
Hesperapis rufipes,Melittidae,specialist,Fowler 2020b
Hesperapis trochanterata,Melittidae,generalist,
Macropis ciliata,Melittidae,specialist,Fowler and Droege 2020; Fowler 2020a
Macropis nuda,Melittidae,specialist,Fowler and Droege 2020; Fowler 2020a; Fowler 2020b
Macropis patellata,Melittidae,specialist,Fowler and Droege 2020; Fowler 2020a
Macropis steironematis,Melittidae,specialist,Fowler and Droege 2020; Fowler 2020a
Melitta americana,Melittidae,specialist,Fowler and Droege 2020
Melitta melittoides,Melittidae,specialist,Fowler and Droege 2020; Fowler 2020a